ord_id,ord_date,cstm_name,cstm_contact,cstm_address,cstm_city,cstm_postal,cstm_country,empl_first_name,empl_last_name,shippers_name,shippers_phone,ord_details_id,ord_details_quantity,prod_id,prod_unit,prod_price,prod_id,splr_id,splr_name,splr_contact,splr_address,splr_id,splr_city,splr_postal_code,splr_country,splr_phone,splr_id,ctgr_id,ctgr_name,ctgr_desc
10293,1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"Federal Shipping","(503) 555-9931",120,12,18,"16 kg pkg.",62.5,18,7,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",7,Melbourne,3058,Australia,"(03) 444-2343",7,8,Seafood,"Seaweed and fish"
10293,1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"Federal Shipping","(503) 555-9931",121,10,24,"12 - 355 ml cans",4.5,24,10,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890",10,"Sao Paulo",5442,Brazil,"(11) 555 4640",10,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10293,1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"Federal Shipping","(503) 555-9931",122,5,63,"15 - 625 g jars",43.9,63,7,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",7,Melbourne,3058,Australia,"(03) 444-2343",7,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
10293,1996-08-29,"Tortuga Restaurante","Miguel Angel Paolino","Avda. Azteca 123","Mexico D.F.",05033,Mexico,Nancy,Davolio,"Federal Shipping","(503) 555-9931",123,6,75,"24 - 0.5 l bottles",7.75,75,12,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",12,Frankfurt,60439,Germany,"(069) 992755",12,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
10306,1996-09-16,"Romero y tomillo","Alejandra Camino","Gran Via, 1",Madrid,28001,Spain,Nancy,Davolio,"Federal Shipping","(503) 555-9931",157,10,30,"10 - 200 g glasses",25.89,30,13,"Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Frahmredder 112a",13,Cuxhaven,27478,Germany,"(04721) 8713",13,8,Seafood,"Seaweed and fish"
10306,1996-09-16,"Romero y tomillo","Alejandra Camino","Gran Via, 1",Madrid,28001,Spain,Nancy,Davolio,"Federal Shipping","(503) 555-9931",158,10,53,"48 pieces",32.8,53,24,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",24,Sydney,2042,Australia,"(02) 555-5914",24,6,Meat/Poultry,"Prepared meats"
10306,1996-09-16,"Romero y tomillo","Alejandra Camino","Gran Via, 1",Madrid,28001,Spain,Nancy,Davolio,"Federal Shipping","(503) 555-9931",159,5,54,"16 pies",7.45,54,25,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",25,Montreal,"H1J 1C3",Canada,"(514) 555-9022",25,6,Meat/Poultry,"Prepared meats"
10311,1996-09-20,"Du monde entier","Janine Labrune","67, rue des Cinquante Otages",Nantes,44000,France,Nancy,Davolio,"Federal Shipping","(503) 555-9931",171,6,42,"32 - 1 kg pkgs.",14,42,20,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",20,Singapore,0512,Singapore,555-8787,20,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
10311,1996-09-20,"Du monde entier","Janine Labrune","67, rue des Cinquante Otages",Nantes,44000,France,Nancy,Davolio,"Federal Shipping","(503) 555-9931",172,7,69,"10 kg pkg.",36,69,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",15,Sandvika,1320,Norway,(0)2-953010,15,4,"Dairy Products",Cheeses
10316,1996-09-27,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,Nancy,Davolio,"Federal Shipping","(503) 555-9931",183,10,41,"12 - 12 oz cans",9.65,41,19,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",19,Boston,02134,USA,"(617) 555-3267",19,8,Seafood,"Seaweed and fish"
